VOC              TOG
000000 2415355000  1.36
000000 2415355999  1.36
000000 2415360000  1.36
000000 2415360999  1.36
000000 2415365000  1.36
000000 2415365999  1.36
000000 2420000000  1.03
000000 2420010000  1.03
000000 2420020000  1.03
000000 2420000999  1.03
000000 2420010999  1.03
000000 2420020999  1.03
000000 2505040000  1.00
000000 2505040120  1.00
000000 2495000085  5.00
000000 2101000000  1.58
000000 2102000000  1.58
000000 2103000000  1.58
000000 2104000000  1.58
000000 2199000000  1.58
000000 2390000000  1.58
000000 2325040000  1.58
000000 2301000000  1.12
000000 2301010000  1.12
000000 2301010010  1.12
000000 2325050000  1.12
000000 2520000000  1.12
000000 2520000010  1.12
000000 2520000020  1.12
000000 2520000030  1.12
000000 2520000040  1.12
000000 2520000900  1.12
000000 2520010000  1.12
000000 2520010010  1.12
000000 2520010020  1.12
000000 2520010030  1.12
000000 2520010040  1.12
000000 2520010900  1.12
000000 2520050000  1.12
000000 2520050010  1.12
000000 2520050020  1.12
000000 2520050030  1.12
000000 2520050040  1.12
000000 2520050900  1.12
000000 2520995000  1.12
000000 2520995010  1.12
000000 2520995020  1.12
000000 2520995030  1.12
000000 2520995040  1.12
000000 2525000000  1.12
000000 2525000010  1.12
000000 2525000020  1.12
000000 2525000030  1.12
000000 2525000040  1.12
000000 2525000900  1.12
000000 2525010000  1.12
000000 2525010010  1.12
000000 2525010020  1.12
000000 2525010030  1.12
000000 2525010040  1.12
000000 2525010900  1.12
000000 2525020000  1.12
000000 2525020010  1.12
000000 2525020020  1.12
000000 2525020030  1.12
000000 2525020040  1.12
000000 2525020900  1.12
000000 2525030000  1.12
000000 2525030010  1.12
000000 2525030020  1.12
000000 2525030030  1.12
000000 2525030040  1.12
000000 2525030900  1.12
000000 2525040000  1.12
000000 2525040010  1.12
000000 2525040020  1.12
000000 2525040030  1.12
000000 2525040040  1.12
000000 2303000000  1.46
000000 2303020000  1.46
000000 2304050000  1.46
000000 2305000000  1.26
000000 2305070000  1.26
000000 2306000000  1.23
000000 2301030000  2.58
000000 2310000000  2.58
000000 2310010000  2.58
000000 2310020000  2.58
000000 2310030000  2.58
000000 2630020000  2.54
000000 2630000000  2.54
000000 2630010000  2.54
000000 2630030000  2.54
000000 2850000000  2.54
000000 2850000010  2.54
000000 2301040000  1.04
000000   00000000  1.00
000000   10100101  1.02
000000   10100102  1.02
000000   10100201  1.02
000000   10100202  1.02
000000   10100203  1.02
